iter	RMSE	RMSE
0	14.21363067	14.21363067
1	13.79823133	13.79823133
2	13.39425691	13.39425691
3	13.00249609	13.00249609
4	12.62209694	12.62209694
5	12.25326331	12.25326331
6	11.8964975	11.8964975
7	11.54990178	11.54990178
8	11.21179867	11.21179867
9	10.8851015	10.8851015
10	10.56778201	10.56778201
11	10.26079657	10.26079657
12	9.964492077	9.964492077
13	9.675269274	9.675269274
14	9.394989473	9.394989473
15	9.123151703	9.123151703
16	8.859042191	8.859042191
17	8.602769659	8.602769659
18	8.356168974	8.356168974
19	8.116653994	8.116653994
20	7.883510634	7.883510634
21	7.656962102	7.656962102
22	7.439847059	7.439847059
23	7.226912143	7.226912143
24	7.020828481	7.020828481
25	6.821417128	6.821417128
26	6.628021586	6.628021586
27	6.439851148	6.439851148
28	6.257886112	6.257886112
29	6.084291195	6.084291195
30	5.913415861	5.913415861
31	5.748604817	5.748604817
32	5.588390991	5.588390991
33	5.43364885	5.43364885
34	5.283046443	5.283046443
35	5.137899208	5.137899208
36	4.997949474	4.997949474
37	4.862883081	4.862883081
38	4.731198799	4.731198799
39	4.604170915	4.604170915
40	4.480327618	4.480327618
41	4.360974674	4.360974674
42	4.246170562	4.246170562
43	4.134450255	4.134450255
44	4.026083038	4.026083038
45	3.920906073	3.920906073
46	3.819884883	3.819884883
47	3.723333037	3.723333037
48	3.628635949	3.628635949
49	3.537234065	3.537234065
50	3.44834098	3.44834098
51	3.363655442	3.363655442
52	3.281657392	3.281657392
53	3.202408876	3.202408876
54	3.125886102	3.125886102
55	3.05258464	3.05258464
56	2.980928657	2.980928657
57	2.912303767	2.912303767
58	2.845585845	2.845585845
59	2.781852861	2.781852861
60	2.719743662	2.719743662
61	2.660644593	2.660644593
62	2.603515872	2.603515872
63	2.549004239	2.549004239
64	2.496979768	2.496979768
65	2.446736792	2.446736792
66	2.397396098	2.397396098
67	2.350311468	2.350311468
68	2.304668055	2.304668055
69	2.261451229	2.261451229
70	2.21968338	2.21968338
71	2.180351454	2.180351454
72	2.142420924	2.142420924
73	2.105619973	2.105619973
74	2.070795702	2.070795702
75	2.037239325	2.037239325
76	2.00490159	2.00490159
77	1.974056497	1.974056497
78	1.944948765	1.944948765
79	1.916475225	1.916475225
80	1.889310184	1.889310184
81	1.862902125	1.862902125
82	1.837624941	1.837624941
83	1.813699288	1.813699288
84	1.790714136	1.790714136
85	1.768810969	1.768810969
86	1.747712356	1.747712356
87	1.727627676	1.727627676
88	1.708528255	1.708528255
89	1.690969755	1.690969755
90	1.673839776	1.673839776
91	1.657365651	1.657365651
92	1.641814673	1.641814673
93	1.626895453	1.626895453
94	1.613145052	1.613145052
95	1.599249187	1.599249187
96	1.586334079	1.586334079
97	1.573834213	1.573834213
98	1.561897396	1.561897396
99	1.551338539	1.551338539
100	1.54133186	1.54133186
101	1.531154938	1.531154938
102	1.521713639	1.521713639
103	1.512767852	1.512767852
104	1.503986828	1.503986828
105	1.496029881	1.496029881
106	1.488454744	1.488454744
107	1.48084907	1.48084907
108	1.473323273	1.473323273
109	1.466474704	1.466474704
110	1.459754358	1.459754358
111	1.453948786	1.453948786
112	1.448538186	1.448538186
113	1.442836004	1.442836004
114	1.437440288	1.437440288
115	1.432412973	1.432412973
116	1.427596498	1.427596498
117	1.422948942	1.422948942
118	1.418411453	1.418411453
119	1.414371382	1.414371382
120	1.410436614	1.410436614
121	1.406661908	1.406661908
122	1.403302173	1.403302173
123	1.399771541	1.399771541
124	1.396692434	1.396692434
125	1.393676418	1.393676418
126	1.39078861	1.39078861
127	1.388201773	1.388201773
128	1.385480906	1.385480906
129	1.382174802	1.382174802
130	1.37965799	1.37965799
131	1.377183254	1.377183254
132	1.375153842	1.375153842
133	1.372705689	1.372705689
134	1.370705118	1.370705118
135	1.368281931	1.368281931
136	1.366348059	1.366348059
137	1.364304447	1.364304447
138	1.362510831	1.362510831
139	1.360499142	1.360499142
140	1.358949271	1.358949271
141	1.357569581	1.357569581
142	1.355910129	1.355910129
143	1.353887212	1.353887212
144	1.352428508	1.352428508
145	1.351205755	1.351205755
146	1.349928141	1.349928141
147	1.348483911	1.348483911
148	1.346929164	1.346929164
149	1.346055328	1.346055328
150	1.344430285	1.344430285
151	1.342889003	1.342889003
152	1.341249091	1.341249091
153	1.339984472	1.339984472
154	1.338470239	1.338470239
155	1.33726035	1.33726035
156	1.336374931	1.336374931
157	1.335220032	1.335220032
158	1.334235151	1.334235151
159	1.333492046	1.333492046
160	1.332791855	1.332791855
161	1.331840807	1.331840807
162	1.330688014	1.330688014
163	1.329247509	1.329247509
164	1.328484664	1.328484664
165	1.327156433	1.327156433
166	1.325990416	1.325990416
167	1.325040082	1.325040082
168	1.324387365	1.324387365
169	1.323541908	1.323541908
170	1.32282748	1.32282748
171	1.321728936	1.321728936
172	1.32109202	1.32109202
173	1.31989838	1.31989838
174	1.319037939	1.319037939
175	1.317701859	1.317701859
176	1.316609384	1.316609384
177	1.31584434	1.31584434
178	1.315468186	1.315468186
179	1.314636663	1.314636663
180	1.313873433	1.313873433
181	1.313081855	1.313081855
182	1.312089143	1.312089143
183	1.31137076	1.31137076
184	1.310562069	1.310562069
185	1.310007769	1.310007769
186	1.309296162	1.309296162
187	1.308574817	1.308574817
188	1.307710803	1.307710803
189	1.306345442	1.306345442
190	1.305459559	1.305459559
191	1.304757811	1.304757811
192	1.304070391	1.304070391
193	1.302953734	1.302953734
194	1.302214562	1.302214562
195	1.301072892	1.301072892
196	1.300291467	1.300291467
197	1.299743763	1.299743763
198	1.299045189	1.299045189
199	1.29855374	1.29855374
200	1.297743185	1.297743185
201	1.297377057	1.297377057
202	1.296796007	1.296796007
203	1.296370639	1.296370639
204	1.295608224	1.295608224
205	1.294345162	1.294345162
206	1.293780571	1.293780571
207	1.293028507	1.293028507
208	1.292423252	1.292423252
209	1.291699013	1.291699013
210	1.290924384	1.290924384
211	1.28977828	1.28977828
212	1.289408017	1.289408017
213	1.28882998	1.28882998
214	1.28842506	1.28842506
215	1.28768395	1.28768395
216	1.287229081	1.287229081
217	1.285878883	1.285878883
218	1.285343394	1.285343394
219	1.284462414	1.284462414
220	1.283430002	1.283430002
221	1.282508494	1.282508494
222	1.282182301	1.282182301
223	1.28174396	1.28174396
224	1.281016688	1.281016688
225	1.28040065	1.28040065
226	1.279681427	1.279681427
227	1.279248545	1.279248545
228	1.278703246	1.278703246
229	1.278240358	1.278240358
230	1.277211226	1.277211226
231	1.276512013	1.276512013
232	1.275931844	1.275931844
233	1.275450794	1.275450794
234	1.274810523	1.274810523
235	1.273718578	1.273718578
236	1.27273579	1.27273579
237	1.272216807	1.272216807
238	1.27159102	1.27159102
239	1.271110576	1.271110576
240	1.27072172	1.27072172
241	1.270307378	1.270307378
242	1.26961666	1.26961666
243	1.268847166	1.268847166
244	1.26824394	1.26824394
245	1.267832943	1.267832943
246	1.267243001	1.267243001
247	1.266692348	1.266692348
248	1.266117088	1.266117088
249	1.265613129	1.265613129
250	1.265222632	1.265222632
251	1.264606162	1.264606162
252	1.263849873	1.263849873
253	1.263511294	1.263511294
254	1.262777102	1.262777102
255	1.262164124	1.262164124
256	1.261813235	1.261813235
257	1.261156951	1.261156951
258	1.260444317	1.260444317
259	1.25993467	1.25993467
260	1.259321742	1.259321742
261	1.259048882	1.259048882
262	1.258477858	1.258477858
263	1.258064885	1.258064885
264	1.25739632	1.25739632
265	1.256544024	1.256544024
266	1.255804598	1.255804598
267	1.255346843	1.255346843
268	1.254616319	1.254616319
269	1.254141492	1.254141492
270	1.25330027	1.25330027
271	1.252778391	1.252778391
272	1.252303318	1.252303318
273	1.251294037	1.251294037
274	1.250577269	1.250577269
275	1.250077635	1.250077635
276	1.249484963	1.249484963
277	1.249118975	1.249118975
278	1.248625331	1.248625331
279	1.248351737	1.248351737
280	1.247799917	1.247799917
281	1.24711952	1.24711952
282	1.246692334	1.246692334
283	1.246301012	1.246301012
284	1.245551091	1.245551091
285	1.245072964	1.245072964
286	1.244297976	1.244297976
287	1.243911107	1.243911107
288	1.243474738	1.243474738
289	1.242680638	1.242680638
290	1.242275588	1.242275588
291	1.241631397	1.241631397
292	1.24115281	1.24115281
293	1.240413153	1.240413153
294	1.239792133	1.239792133
295	1.239073793	1.239073793
296	1.23874355	1.23874355
297	1.238058856	1.238058856
298	1.237567354	1.237567354
299	1.23721995	1.23721995
300	1.236443088	1.236443088
301	1.235656482	1.235656482
302	1.235105286	1.235105286
303	1.234763867	1.234763867
304	1.23451184	1.23451184
305	1.234052926	1.234052926
306	1.233748875	1.233748875
307	1.233167166	1.233167166
308	1.232857128	1.232857128
309	1.232403169	1.232403169
310	1.231731025	1.231731025
311	1.231040157	1.231040157
312	1.230093779	1.230093779
313	1.229844514	1.229844514
314	1.229007003	1.229007003
315	1.228328515	1.228328515
316	1.227771318	1.227771318
317	1.227355268	1.227355268
318	1.22678682	1.22678682
319	1.226061108	1.226061108
320	1.225443486	1.225443486
321	1.225167425	1.225167425
322	1.224551897	1.224551897
323	1.224037637	1.224037637
324	1.223704963	1.223704963
325	1.223396134	1.223396134
326	1.223119416	1.223119416
327	1.222569067	1.222569067
328	1.221974279	1.221974279
329	1.221445806	1.221445806
330	1.220647403	1.220647403
331	1.219939863	1.219939863
332	1.219600471	1.219600471
333	1.218964252	1.218964252
334	1.218346474	1.218346474
335	1.217864033	1.217864033
336	1.217616937	1.217616937
337	1.21720534	1.21720534
338	1.216926994	1.216926994
339	1.216562498	1.216562498
340	1.215979474	1.215979474
341	1.21530783	1.21530783
342	1.214922694	1.214922694
343	1.214371394	1.214371394
344	1.21402403	1.21402403
345	1.213324784	1.213324784
346	1.21248456	1.21248456
347	1.212174733	1.212174733
348	1.211487041	1.211487041
349	1.211075669	1.211075669
350	1.210398373	1.210398373
351	1.209668805	1.209668805
352	1.209072137	1.209072137
353	1.208589784	1.208589784
354	1.208091012	1.208091012
355	1.207819313	1.207819313
