iter	Passed	Remaining
0	141	1413813
1	247	1238461
2	376	1253944
3	482	1205991
4	582	1165069
5	706	1176325
6	829	1184075
7	953	1191042
8	1069	1187803
9	1209	1208429
10	1344	1220924
11	1483	1234522
12	1586	1218466
13	1688	1204664
14	1813	1207259
15	1941	1211456
16	2066	1213303
17	2211	1226599
18	2321	1219586
19	2429	1212429
20	2555	1214368
21	2688	1219179
22	2823	1224697
23	2949	1226121
24	3094	1234520
25	3219	1234977
26	3324	1227844
27	3457	1231285
28	3561	1224504
29	3698	1229069
30	3823	1229472
31	3964	1234861
32	4100	1238605
33	4235	1241553
34	4358	1241021
35	4492	1243507
36	4604	1239838
37	4751	1245592
38	4885	1247849
39	5018	1249496
40	5138	1248256
41	5268	1249132
42	5393	1248934
43	5519	1248807
44	5648	1249518
45	5758	1246047
46	5871	1243425
47	6010	1246184
48	6148	1248673
49	6279	1249652
50	6419	1252279
51	6539	1251121
52	6660	1250071
53	6770	1247014
54	6896	1247066
55	7036	1249430
56	7170	1250886
57	7322	1255196
58	7441	1253852
59	7561	1252757
60	7709	1256137
61	7848	1258117
62	7973	1257680
63	8106	1258611
64	8245	1260309
65	8398	1264031
66	8544	1266735
67	8664	1265490
68	8808	1267755
69	8954	1270262
70	9090	1271279
71	9199	1268538
72	9322	1267704
73	9479	1271564
74	9630	1274463
75	9771	1275974
76	9907	1276728
77	10042	1277506
78	10157	1275573
79	10300	1277312
80	10451	1279886
81	10578	1279427
82	10710	1279751
83	10825	1277921
84	10952	1277632
85	11068	1275981
86	11204	1276647
87	11347	1278110
88	11485	1279028
89	11609	1278336
90	11723	1276605
91	11859	1277180
92	12004	1278852
93	12135	1278910
94	12280	1280423
95	12402	1279560
96	12515	1277763
97	12648	1277975
98	12785	1278706
99	12924	1279536
100	13060	1280084
101	13175	1278501
102	13280	1276102
103	13425	1277456
104	13571	1278922
105	13695	1278374
106	13810	1276927
107	13914	1274483
108	14060	1275886
109	14198	1276583
110	14335	1277164
111	14466	1277188
112	14601	1277605
113	14741	1278391
114	14867	1277984
115	14995	1277710
116	15129	1278032
117	15255	1277616
118	15392	1278094
119	15526	1278364
120	15672	1279577
121	15809	1280089
122	15949	1280758
123	16091	1281626
124	16233	1282423
125	16377	1283433
126	16499	1282707
127	16641	1283438
128	16766	1282939
129	16882	1281766
130	16991	1280092
131	17138	1281258
132	17273	1281477
133	17416	1282358
134	17558	1283065
135	17703	1284011
136	17833	1283891
137	17969	1284193
138	18097	1283867
139	18244	1284939
140	18393	1286088
141	18539	1287050
142	18668	1286853
143	18779	1285338
144	18917	1285756
145	19059	1286394
146	19184	1285912
147	19309	1285411
148	19443	1285485
149	19559	1284408
150	19706	1285329
151	19841	1285534
152	19986	1286304
153	20105	1285464
154	20229	1284872
155	20336	1283258
156	20476	1283744
157	20586	1282349
158	20718	1282324
159	20857	1282716
160	20982	1282277
161	21095	1281073
162	21225	1280950
163	21358	1280972
164	21482	1280505
165	21621	1280873
166	21740	1280089
167	21891	1281190
168	22034	1281770
169	22156	1281192
170	22276	1280466
171	22406	1280284
172	22521	1279326
173	22646	1278849
174	22759	1277761
175	22888	1277587
176	23002	1276600
177	23127	1276173
178	23277	1277124
179	23412	1277287
180	23513	1275590
181	23643	1275432
182	23773	1275310
183	23883	1274116
184	24013	1274023
185	24121	1272747
186	24229	1271461
187	24339	1270317
188	24466	1270032
189	24589	1269618
190	24729	1270019
191	24852	1269568
192	24988	1269751
193	25093	1268382
194	25221	1268202
195	25357	1268377
196	25485	1268172
197	25617	1268187
198	25742	1267866
199	25863	1267318
200	25993	1267203
201	26120	1266954
202	26222	1265505
203	26354	1265518
204	26488	1265649
